字段1,字段2,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11
_M13****1378,5分 超棒,远道而来看滚滚不虚此行。早上八点多到了大熊猫基地首先去了月亮产房，看到三只看着挺大的可能属于青少年的熊猫在玩耍，第二区是两只几个月大的，饲养员拿着奶瓶喂奶，有一只还憨憨的爬上了树，身手不错。后来逛了好多个区的大熊猫还是觉得宝宝最萌啦！,2021-03-22IP属地：未知,IP属地：未知,"
3",,2021-03-22IP属地：未知,IP属地：未知,"
3",
_WeCh****50913,5分 超棒,大熊猫超可爱！到的时候是11:00左右，天气阴，凉爽，一半熊猫在吃竹子，一半熊猫已经爬上大树睡觉啦。另外熊猫出生一般在7月左右，所以月亮太阳产房也暂时没有大熊猫宝宝。还有就是如果觉得自己很能走，可以徒步走完全程，回来做5元一人的游览车。疫情期间游览车只停起点和终点两站哟。,2021-03-13IP属地：未知,IP属地：未知,"
5",,2021-03-13IP属地：未知,IP属地：未知,"
5",
yoga0822,5分 超棒,作为国宝的熊猫无疑号称为“最最最萌宠”了 来成都游玩 大熊猫繁育研究基地是必打卡之地 搭乘交通也很方便 在熊猫基地可以看到多种类型的熊猫 还能够看到各个年龄的熊猫 小熊猫和大熊猫都有 还能近距离和孔雀交流 如够幸运的话 还能够看到孔雀开屏 适合慢慢走 慢慢游玩的地点 时间上安排半年也是足够的 游玩完后就可以到市区继续行程 成都行 萌宠🉑️。,2020-10-31IP属地：未知,IP属地：未知,"
1",,2020-10-31IP属地：未知,IP属地：未知,"
1",
M23****1347,4分 满意,还不错 可以去看一下,2022-05-30IP属地：未知,IP属地：未知,"
点赞",,2022-05-30IP属地：未知,IP属地：未知,"
点赞",
凉柯与默,5分 超棒,挺好的，下次还会去,2022-05-21IP属地：未知,IP属地：未知,"
点赞",,2022-05-21IP属地：未知,IP属地：未知,"
点赞",
M47****1477,5分 超棒,。。。。。。123,2022-05-15IP属地：未知,IP属地：未知,"
点赞",,2022-05-15IP属地：未知,IP属地：未知,"
点赞",
_WeCh****038074,5分 超棒,去晚了，得早点儿去,2022-05-08IP属地：未知,IP属地：未知,"
点赞",,2022-05-08IP属地：未知,IP属地：未知,"
点赞",
雪梨芒果汁,5分 超棒,值得去的一个打卡点,2022-04-05IP属地：未知,IP属地：未知,"
点赞",,2022-04-05IP属地：未知,IP属地：未知,"
点赞",
M46****371,5分 超棒,很合适带娃娃去一趟,2022-03-16IP属地：未知,IP属地：未知,"
点赞",,2022-03-16IP属地：未知,IP属地：未知,"
点赞",
M48****3956,5分 超棒,***,2022-03-12IP属地：未知,IP属地：未知,"
点赞",,2022-03-12IP属地：未知,IP属地：未知,"
点赞",
M33****2212,5分 超棒,可爱的潘达，等你去瞧，早上早点去，活跃的多，下午大多数以各种躺姿睡觉，一个比一个萌，月亮产房在最里面，可以由里及外，看得更全。还有小熊猫和孔雀，熊猫叫声接近狗，尖一点的是孔雀在叫,2021-04-04IP属地：未知,IP属地：未知,"
2",,2021-04-04IP属地：未知,IP属地：未知,"
2",
不吃糖的猫i,3分 不错,熊猫很少天气热了没啥太好的体验感，大熊猫小熊猫都非常可爱,2022-07-09IP属地：未知,IP属地：未知,"
点赞",,2022-07-09IP属地：未知,IP属地：未知,"
点赞",
M16****322,3分 不错,没有几只熊猫，不如去动物园，不推荐，本地人根本不去，很热,2022-07-06IP属地：未知,IP属地：未知,"
点赞",,2022-07-06IP属地：未知,IP属地：未知,"
点赞",
M22****1508,5分 超棒,好，不错，挺好的,2022-05-21IP属地：未知,IP属地：未知,"
点赞",,2022-05-21IP属地：未知,IP属地：未知,"
点赞",
蒋鹰闻,5分 超棒,大熊猫都不洗澡吗,2022-05-07IP属地：未知,IP属地：未知,"
点赞",,2022-05-07IP属地：未知,IP属地：未知,"
点赞",
E19****675,5分 超棒,熊猫很多，很可爱,2022-05-02IP属地：未知,IP属地：未知,"
点赞",,2022-05-02IP属地：未知,IP属地：未知,"
点赞",
M56****086,5分 超棒,非常可爱的大熊猫,2022-04-29IP属地：未知,IP属地：未知,"
点赞",,2022-04-29IP属地：未知,IP属地：未知,"
点赞",
天下第一万事达,5分 超棒,好好玩，值得推荐,2022-04-24IP属地：未知,IP属地：未知,"
点赞",,2022-04-24IP属地：未知,IP属地：未知,"
点赞",
微微0909,5分 超棒,ok ok ok,2022-03-24IP属地：未知,IP属地：未知,"
点赞",,2022-03-24IP属地：未知,IP属地：未知,"
点赞",
M57****337,5分 超棒,好玩，天气也不错,2022-03-22IP属地：未知,IP属地：未知,"
点赞",,2022-03-22IP属地：未知,IP属地：未知,"
点赞",
陈杰威,5分 超棒,服务很好。很ok,2022-03-17IP属地：未知,IP属地：未知,"
点赞",,2022-03-17IP属地：未知,IP属地：未知,"
点赞",
﻿阿伊纳罗县朱亮祖,5分 超棒,干净卫生的动物园,2022-03-12IP属地：未知,IP属地：未知,"
点赞",,2022-03-12IP属地：未知,IP属地：未知,"
点赞",
M48****3956,5分 超棒,。。。。。。。。,2022-03-12IP属地：未知,IP属地：未知,"
点赞",,2022-03-12IP属地：未知,IP属地：未知,"
点赞",
无敌腊肠,5分 超棒,不错不错不错不错,2022-03-11IP属地：未知,IP属地：未知,"
点赞",,2022-03-11IP属地：未知,IP属地：未知,"
点赞",
choicy0208,5分 超棒,我就是猫粉，这次来专门看🐼的。因为明年基地有新场地，所以好多🐼都搬到新园区去了。不过看到我喜欢的心上熊也还不错的，环境感觉比隔壁的保护中心好很多，起码有大树，这次体验还行。,2021-12-22IP属地：未知,IP属地：未知,"
点赞",,2021-12-22IP属地：未知,IP属地：未知,"
点赞",
_WeCh****33673,5分 超棒,很多可爱的熊猫,2022-05-29IP属地：未知,IP属地：未知,"
点赞",,2022-05-29IP属地：未知,IP属地：未知,"
点赞",
182****2211,5分 超棒,熊猫 谁会拒绝呢,2022-05-21IP属地：未知,IP属地：未知,"
点赞",,2022-05-21IP属地：未知,IP属地：未知,"
点赞",
M47****1477,5分 超棒,。。。。。。。,2022-05-15IP属地：未知,IP属地：未知,"
点赞",,2022-05-15IP属地：未知,IP属地：未知,"
点赞",
海外男,5分 超棒,非常不错的体验,2022-05-13IP属地：未知,IP属地：未知,"
点赞",,2022-05-13IP属地：未知,IP属地：未知,"
点赞",
_WeCh****43816,5分 超棒,熊猫非常可爱呢,2022-04-29IP属地：未知,IP属地：未知,"
点赞",,2022-04-29IP属地：未知,IP属地：未知,"
点赞",
M28****8629,5分 超棒,很方便，很快捷,2022-04-21IP属地：未知,IP属地：未知,"
点赞",,2022-04-21IP属地：未知,IP属地：未知,"
点赞",
JohnZzzZzzz,5分 超棒,挺好的，挺好的,2022-04-19IP属地：未知,IP属地：未知,"
点赞",,2022-04-19IP属地：未知,IP属地：未知,"
点赞",
徐鹏？？,5分 超棒,非常好玩还会去,2022-04-19IP属地：未知,IP属地：未知,"
点赞",,2022-04-19IP属地：未知,IP属地：未知,"
点赞",
微微0909,5分 超棒,很好玩值得一去,2022-03-24IP属地：未知,IP属地：未知,"
点赞",,2022-03-24IP属地：未知,IP属地：未知,"
点赞",
M50****4716,5分 超棒,成都旅游必打卡,2022-03-23IP属地：未知,IP属地：未知,"
点赞",,2022-03-23IP属地：未知,IP属地：未知,"
点赞",
Victoria Zhao,5分 超棒,熊猫宝宝好可爱,2022-03-23IP属地：未知,IP属地：未知,"
点赞",,2022-03-23IP属地：未知,IP属地：未知,"
点赞",
300****269,5分 超棒,值得一玩。。。,2022-03-19IP属地：未知,IP属地：未知,"
点赞",,2022-03-19IP属地：未知,IP属地：未知,"
点赞",
xyong2001,5分 超棒,很可爱的大熊猫,2022-03-10IP属地：未知,IP属地：未知,"
点赞",,2022-03-10IP属地：未知,IP属地：未知,"
点赞",
赤西佳子,5分 超棒,熊猫塔出片很好,2022-03-08IP属地：未知,IP属地：未知,"
点赞",,2022-03-08IP属地：未知,IP属地：未知,"
点赞",
_WeCh****46768,5分 超棒,值得去！！！！,2022-03-05IP属地：未知,IP属地：未知,"
点赞",,2022-03-05IP属地：未知,IP属地：未知,"
点赞",
M11****224,5分 超棒,大熊猫太可爱了,2022-03-05IP属地：未知,IP属地：未知,"
点赞",,2022-03-05IP属地：未知,IP属地：未知,"
点赞",
M26****8908,5分 超棒,大熊猫超可爱,2022-05-11IP属地：未知,IP属地：未知,"
点赞",,2022-05-11IP属地：未知,IP属地：未知,"
点赞",
夏天的风_114114,5分 超棒,值得前往..,2022-05-07IP属地：未知,IP属地：未知,"
点赞",,2022-05-07IP属地：未知,IP属地：未知,"
点赞",
B° Cnst - 半盏流年,5分 超棒,北方来的我，,2022-05-06IP属地：未知,IP属地：未知,"
点赞",,2022-05-06IP属地：未知,IP属地：未知,"
点赞",
子曰,5分 超棒,挺好的 很满意,2022-04-08IP属地：未知,IP属地：未知,"
点赞",,2022-04-08IP属地：未知,IP属地：未知,"
点赞",
匿名用户1104,5分 超棒,孩子非常喜欢,2022-04-06IP属地：未知,IP属地：未知,"
点赞",,2022-04-06IP属地：未知,IP属地：未知,"
点赞",
M29****3236,5分 超棒,好很好非常好,2022-04-05IP属地：未知,IP属地：未知,"
点赞",,2022-04-05IP属地：未知,IP属地：未知,"
点赞",
_WeCh****83974,5分 超棒,大熊猫很可爱,2022-04-04IP属地：未知,IP属地：未知,"
点赞",,2022-04-04IP属地：未知,IP属地：未知,"
点赞",
微微0909,5分 超棒,OKOKOK,2022-03-24IP属地：未知,IP属地：未知,"
点赞",,2022-03-24IP属地：未知,IP属地：未知,"
点赞",
Victoria Zhao,5分 超棒,小熊猫好乖哦,2022-03-23IP属地：未知,IP属地：未知,"
点赞",,2022-03-23IP属地：未知,IP属地：未知,"
点赞",
M31****4586,5分 超棒,熊猫好可爱！,2022-03-22IP属地：未知,IP属地：未知,"
点赞",,2022-03-22IP属地：未知,IP属地：未知,"
点赞",
118****689,5分 超棒,很值得一游。,2022-03-19IP属地：未知,IP属地：未知,"
点赞",,2022-03-19IP属地：未知,IP属地：未知,"
点赞",
M46****371,5分 超棒,很值得去一次,2022-03-16IP属地：未知,IP属地：未知,"
点赞",,2022-03-16IP属地：未知,IP属地：未知,"
点赞",
丶Kevin Lee,5分 超棒,很好很好很好,2022-03-14IP属地：未知,IP属地：未知,"
点赞",,2022-03-14IP属地：未知,IP属地：未知,"
点赞",
影唇,5分 超棒,很好，很好玩,2022-03-13IP属地：未知,IP属地：未知,"
点赞",,2022-03-13IP属地：未知,IP属地：未知,"
点赞",
_WeCh****07433,5分 超棒,值得一去……,2022-03-12IP属地：未知,IP属地：未知,"
点赞",,2022-03-12IP属地：未知,IP属地：未知,"
点赞",
xyong2001,5分 超棒,可以游览一下,2022-03-10IP属地：未知,IP属地：未知,"
点赞",,2022-03-10IP属地：未知,IP属地：未知,"
点赞",
_WeCh****26436,5分 超棒,好啊好啊，哈,2022-03-06IP属地：未知,IP属地：未知,"
点赞",,2022-03-06IP属地：未知,IP属地：未知,"
点赞",
丹尼伍,5分 超棒,熊猫基地如果就看 也没什么看的，大家都长一个样。真的看到他们的样子，还是很可爱的。每天就是 吃喝玩睡，一根竹子，就可以满足了。想想我们可爱的人类，为什么要追求那么多，还不知足。,2018-01-26IP属地：未知,IP属地：未知,"
144",,2018-01-26IP属地：未知,IP属地：未知,"
144",
江南风,5分 超棒,。。。。。,2022-05-31IP属地：未知,IP属地：未知,"
点赞",,2022-05-31IP属地：未知,IP属地：未知,"
点赞",
ydysycdysdyq,5分 超棒,体验非常好,2022-05-30IP属地：未知,IP属地：未知,"
点赞",,2022-05-30IP属地：未知,IP属地：未知,"
点赞",
M22****1508,5分 超棒,非常的好啊,2022-05-21IP属地：未知,IP属地：未知,"
点赞",,2022-05-21IP属地：未知,IP属地：未知,"
点赞",
M22****1508,5分 超棒,非常的好啊,2022-05-21IP属地：未知,IP属地：未知,"
点赞",,2022-05-21IP属地：未知,IP属地：未知,"
点赞",
蒂瓦特徐寿辉,5分 超棒,跟朋友聚聚,2022-05-11IP属地：未知,IP属地：未知,"
点赞",,2022-05-11IP属地：未知,IP属地：未知,"
点赞",
M46****737,5分 超棒,网红打卡地,2022-05-07IP属地：未知,IP属地：未知,"
点赞",,2022-05-07IP属地：未知,IP属地：未知,"
点赞",
夏天的风_114114,5分 超棒,适合小朋友,2022-05-07IP属地：未知,IP属地：未知,"
点赞",,2022-05-07IP属地：未知,IP属地：未知,"
点赞",
M_pen,5分 超棒,12346,2022-05-02IP属地：未知,IP属地：未知,"
点赞",,2022-05-02IP属地：未知,IP属地：未知,"
点赞",
熊小杰吖,5分 超棒,值得去……,2022-04-30IP属地：未知,IP属地：未知,"
点赞",,2022-04-30IP属地：未知,IP属地：未知,"
点赞",
熊小杰吖,5分 超棒,值得去……,2022-04-30IP属地：未知,IP属地：未知,"
点赞",,2022-04-30IP属地：未知,IP属地：未知,"
点赞",
格拉纳达省李悝,5分 超棒,不错的旅行,2022-04-27IP属地：未知,IP属地：未知,"
点赞",,2022-04-27IP属地：未知,IP属地：未知,"
点赞",
M29****3494,5分 超棒,熊猫很可爱,2022-04-23IP属地：未知,IP属地：未知,"
点赞",,2022-04-23IP属地：未知,IP属地：未知,"
点赞",
先驱者W,5分 超棒,很有意思！,2022-04-22IP属地：未知,IP属地：未知,"
点赞",,2022-04-22IP属地：未知,IP属地：未知,"
点赞",
_WeCh****969929,5分 超棒,不错的旅程,2022-04-12IP属地：未知,IP属地：未知,"
点赞",,2022-04-12IP属地：未知,IP属地：未知,"
点赞",
_WeCh****433615,5分 超棒,可以，好玩,2022-04-06IP属地：未知,IP属地：未知,"
点赞",,2022-04-06IP属地：未知,IP属地：未知,"
点赞",
天外肥鲜,5分 超棒,值得一去。,2022-04-04IP属地：未知,IP属地：未知,"
点赞",,2022-04-04IP属地：未知,IP属地：未知,"
点赞",
翘楚儿郎,5分 超棒,挺好的地方,2022-04-04IP属地：未知,IP属地：未知,"
点赞",,2022-04-04IP属地：未知,IP属地：未知,"
点赞",
熊猫土豆,5分 超棒,喜欢大熊猫,2022-04-02IP属地：未知,IP属地：未知,"
点赞",,2022-04-02IP属地：未知,IP属地：未知,"
点赞",
_WeCh****27273,5分 超棒,非常不错。,2022-03-29IP属地：未知,IP属地：未知,"
点赞",,2022-03-29IP属地：未知,IP属地：未知,"
点赞",
M49****0093,5分 超棒,非常不错。,2022-03-29IP属地：未知,IP属地：未知,"
点赞",,2022-03-29IP属地：未知,IP属地：未知,"
点赞",
300****909,5分 超棒,里面很凉快,2022-03-26IP属地：未知,IP属地：未知,"
点赞",,2022-03-26IP属地：未知,IP属地：未知,"
点赞",
M22****033,5分 超棒,玩得很开心,2022-03-24IP属地：未知,IP属地：未知,"
点赞",,2022-03-24IP属地：未知,IP属地：未知,"
点赞",
M22****033,5分 超棒,玩得很开心,2022-03-24IP属地：未知,IP属地：未知,"
点赞",,2022-03-24IP属地：未知,IP属地：未知,"
点赞",
Victoria Zhao,5分 超棒,熊猫真可爱,2022-03-23IP属地：未知,IP属地：未知,"
点赞",,2022-03-23IP属地：未知,IP属地：未知,"
点赞",
DongR_,5分 超棒,还不错哦。,2022-03-13IP属地：未知,IP属地：未知,"
点赞",,2022-03-13IP属地：未知,IP属地：未知,"
点赞",
e24****00,5分 超棒,这次游览的体验挺好的，还看到了熊猫打架，刚出生的熊猫宝宝裹着粉红毯子睡觉。园区空气清新，植被茂盛，是个不错的溜娃地。可惜去得有点晚，有些活动都结束了。,2022-01-11IP属地：未知,IP属地：未知,"
1",,2022-01-11IP属地：未知,IP属地：未知,"
1",
M49****3099,5分 超棒,这是一场说走就走的旅行，旅行天气情况都还行，司机蒋师傅车技很稳，准时准点服务，安排的很合理。名不虚传，虽然时间有点赶，一天下来走了三万来步，但是相对于大熊猫来说，确实值得,2021-10-13IP属地：未知,IP属地：未知,"
点赞",,2021-10-13IP属地：未知,IP属地：未知,"
点赞",
朝华集团刘雷,5分 超棒,一大早从酒店出发，地铁到熊猫大道站下车，出了地铁站有卖门票的，买票后可以乘坐免费班车到熊猫基地门口，回来的车两元每人到地铁口，交通十分便利，熊猫太可爱了，，里面空气清新，,2017-02-02IP属地：未知,IP属地：未知,"
24",,2017-02-02IP属地：未知,IP属地：未知,"
24",
祖国万万岁,3分 不错,和熊猫闹着玩，我媳妇怀孕被工作人员推了，超级生气,2022-03-30IP属地：未知,IP属地：未知,"
点赞",,2022-03-30IP属地：未知,IP属地：未知,"
点赞",
姐姐刘流,5分 超棒,我是从春熙路做专车过去熊猫🐼基地的很方便车票才5元。门票我在携程上买的很便宜，里面很大我是慢慢逛几乎每个景点都去了差不多用4个小时，国宝们太可爱了人人多不过也不拥挤。,2022-01-26IP属地：未知,IP属地：未知,"
点赞",,2022-01-26IP属地：未知,IP属地：未知,"
点赞",
彩色栀子,5分 超棒,适合带家里小宝宝去看，熊猫宝宝各个憨态可鞠，引来不少欢笑与拍照留念。,2021-11-25IP属地：未知,IP属地：未知,"
1",,2021-11-25IP属地：未知,IP属地：未知,"
1",
wangdn,5分 超棒,成都最好的招牌，人人爱的大熊猫，大概在繁育基地里生活得很爽吧，反正游客们是过足眼瘾，津津有味地看熊猫吃饭、爬树、打架，哈哈，看到什么全凭运气；基地在城郊，面积很大，景色优美，竹子特别多😄,2021-10-07IP属地：未知,IP属地：未知,"
1",,2021-10-07IP属地：未知,IP属地：未知,"
1",
老王1954,5分 超棒,市区到这两个地方再返回不含门票，价钱才75元哈哈 为了熊猫来成都，在熊猫基地逛了一天还不舍得离开，想睡在那里 超可爱的！11点的时候很多熊猫都在开始睡觉了，就在树上就睡了，真的好怕他们掉下来。,2021-06-22IP属地：未知,IP属地：未知,"
1",,2021-06-22IP属地：未知,IP属地：未知,"
1",
东北。,5分 超棒,非常好,2022-03-25IP属地：未知,IP属地：未知,"
点赞",,2022-03-25IP属地：未知,IP属地：未知,"
点赞",
yi﹏,3分 不错,太热没看到几只熊猫，都再室内，有点失望😞,2022-07-15IP属地：未知,IP属地：未知,"
点赞",,2022-07-15IP属地：未知,IP属地：未知,"
点赞",
m60****81,3分 不错,能看到的熊猫太少了 景区环境还不错 性价比不高,2022-07-10IP属地：未知,IP属地：未知,"
点赞",,2022-07-10IP属地：未知,IP属地：未知,"
点赞",
m60****81,3分 不错,能看到的熊猫太少了 景区环境还不错 性价比不高,2022-07-10IP属地：未知,IP属地：未知,"
点赞",,2022-07-10IP属地：未知,IP属地：未知,"
点赞",
m60****81,3分 不错,能看到的熊猫太少了 景区环境还不错 性价比不高,2022-07-10IP属地：未知,IP属地：未知,"
点赞",,2022-07-10IP属地：未知,IP属地：未知,"
点赞",
_zx6****493,5分 超棒,非常推荐去看大熊猫，可可爱爱的睡觉打架都很有趣，市区到熊猫基地感觉人多打车最方便，也有直达车，门票可以携程提前购买有优惠。,2021-10-26IP属地：未知,IP属地：未知,"
点赞",,2021-10-26IP属地：未知,IP属地：未知,"
点赞",
靖安齐家,4分 满意,小朋友喜欢，早一点去可以看见熊猫吃东西。,2022-03-31IP属地：未知,IP属地：未知,"
点赞",,2022-03-31IP属地：未知,IP属地：未知,"
点赞",
qkxmm,5分 超棒,这次预约很意外的惊喜，因为我们到酒店时间晚点了，临时联系平台要延迟进园，所以平台立马积极联系改时间、改讲解。于是遇到了这次的张美女，当时已经很晚了，但张美女的确认电话一打来，隔着手机就能感觉她热情、爽快和专业，愉快的沟通让我们原本因入住酒店晚点影响第二天入园的一点点不愉快也没有了！第二天张美女2个小时陪我们走完了最佳路线，分享了很多大熊猫有趣的故事、介绍了熊猫基地里的明星熊猫、在带团中经历过的大熊猫趣事、外宾为一睹国宝的狂热趣事等等，恰好这天出了一点点冬日暖阳，国宝们情绪不错，我们看到了各种萌姿的团子，一行大大小小笑声不断，不虚此行！2个小时觉得过得好快哦！感谢这次的晚点，有缘遇到开朗、健谈、专业、热情的张美女。希望以后有机会熊猫基地再见哦！最后贴上几张当时拍到的2个月团子“越狱图”吧，可爱地要死！,2022-02-23IP属地：未知,IP属地：未知,"
点赞",,2022-02-23IP属地：未知,IP属地：未知,"
点赞",
月半月半,5分 超棒,很棒。早点到景区就对了 错峰出游。一般到9点左右就会有旅游团来，人就多了。早上7点半左右到的景区，步行20分钟到月亮产房，可以看见黑白团子边干饭边耍。然后去一号别墅二号别墅，各个团子都要出来迎客啦。十点半左右，月亮产房会有小些的团子出来耍，萌呆啦。再去太阳产房看再小些的团子在专属婴儿床上耍。最后，其他的景点可以边下山边看。到处是猫熊🐼，吸到不可自主呼吸。 景区内有游览车，也可以自行买票运游客到月亮产房。,2021-12-06IP属地：未知,IP属地：未知,"
点赞",,2021-12-06IP属地：未知,IP属地：未知,"
点赞",
咖小啡-,5分 超棒,"懒得要命 巨萌那种 走路内八字贼快 笑死😆人了 还看见了一个再打坐🧘‍♀️的熊猫🐼 太可爱了……
还看了熊猫🐼宝宝 超级可爱 
建议上山坐小车🚗上去参观游玩 下来步行即可",2021-11-13IP属地：未知,IP属地：未知,"
点赞",,2021-11-13IP属地：未知,IP属地：未知,"
点赞",
燃烧生命的小胖妞,4分 满意,"中国大熊猫保护研究中心都江堰基地（又名""熊猫乐园""、“都江堰中华大熊猫苑”）由香港特别行政区政府援建，位处市青城山镇石桥村怀中路，距市区18公里，北领道教圣地青城山，南邻川西街子古镇，省道s106（川西旅游环线）连贯其间。紧邻大熊猫栖息地世界遗产区域，拥有适宜大熊猫生活的气候和自然环境。",2021-10-26IP属地：未知,IP属地：未知,"
点赞",,2021-10-26IP属地：未知,IP属地：未知,"
点赞",
我是小正太,5分 超棒,国庆期间去的，人还是挺多的，观光车10元/位，包含来回两趟车票，园区在整体在山上，到处是上下坡，走走还是比较辛苦的…不过大熊猫还是非常可爱的，小孩子看了很开心！,2021-10-12IP属地：未知,IP属地：未知,"
点赞",,2021-10-12IP属地：未知,IP属地：未知,"
点赞",
206****828,5分 超棒,10.2号去的，人流量较大，入园就需要排队进入了，进入后有观光车可以乘坐，但是我们选择步行，景区内熊猫分布在不同的地方，有太阳、月亮产房，别墅区，还有兽舍，包括小熊猫参观区，可以根据指示牌自行前往，建议选择天气凉爽的时间前往，u1s1，熊猫们非常可爱、憨态可掬，近距离拍拍照也是不错的选择。,2021-10-02IP属地：未知,IP属地：未知,"
点赞",,2021-10-02IP属地：未知,IP属地：未知,"
点赞",
洛洛的奇妙夜,4分 满意,到了成都必去熊猫基地，离市区不远，都有直达车辆，看评论很多都说要早起7点半入园不然很难看到熊猫活动，因此我们还专门住在了熊猫基地附近。其实完全没有必要，因为10点多的时候熊猫都还在活动，有吃竹子的，有在玩耍的。完全是根据天气情况。 说7点半8点就要到的也没有错，夏季天气炎热时候是这样的。所以还请根据自身游玩季节，来计划游玩时间。游玩时间3-4小时 时间就很充裕了。整体环境不错，里面的景点可驻足长留的比较少。大家关注的月亮产房和太阳产房，我们这次去的时候 月亮产房只有一只成年熊猫，其他的没有， 太阳产房要10点半才开。园区有捐赠点为熊猫捐款献爱心比较有意义，可以给孩子留念，会给一只熊猫玩偶和一份捐款证书。比直接在商店买一只玩偶更有意义。园区里面的食物价格不高，没必要背很多水和食物，轻松旅行，多看看可爱的国宝熊猫🐼,2021-09-30IP属地：未知,IP属地：未知,"
2",,2021-09-30IP属地：未知,IP属地：未知,"
2",
186****6743,5分 超棒,实在是太治愈啦 熊猫宝宝们萌萌哒 一定要早点去 我们是早上6点半从人民公园出发的7点多点就到了 开园直接去月亮产房看小宝宝 然后就可以慢慢逛啦 里面的空气很好 就是蚊子有点多,2021-09-13IP属地：未知,IP属地：未知,"
点赞",,2021-09-13IP属地：未知,IP属地：未知,"
点赞",
毛毛bear,5分 超棒,园内就像一个公园一样，绿化好，即使是夏天也比较凉快，竹林成荫。熊猫数量比较多，大小都有，熊猫在户外活动的时候，活波可爱，建议上午去，太热的话熊猫们就到室内去了。熊猫基地附近有直达一些都江堰、三星堆、宽窄巷子的直达车，很方便。,2021-08-14IP属地：未知,IP属地：未知,"
点赞",,2021-08-14IP属地：未知,IP属地：未知,"
点赞",
花露雨,5分 超棒,地理位置：距市中心并不太远打车四五十的熊猫乐园 性价比：全国算是规模最大最集中的熊猫乐园，买套票就比较划算，进去光自己看看不行的还是要请个讲解员讲解一下的 趣味性：运气好有小熊猫诞生可以看到很小的小熊猫的一个月的小滚滚实在是太可爱了可是天气一般出来了十分钟就抱回去了,2021-08-01IP属地：未知,IP属地：未知,"
点赞",,2021-08-01IP属地：未知,IP属地：未知,"
点赞",
M48****3583,5分 超棒,去了，还挺好玩，景区里面的太阳产房值得一去😉，还有小熊猫幼崽活动一区二区，到了下午馆里的熊猫普遍比外面的懒，不管是上午下午，都不妨可以去看一看，我要玩，我认为还是蛮可以的，有竹子可以纳凉，可好了，里面并没有什么坏处，大家可以去玩一下😃👌,2021-07-11IP属地：未知,IP属地：未知,"
点赞",,2021-07-11IP属地：未知,IP属地：未知,"
点赞",
186****8107,5分 超棒,一定要早去，赶开门进去，我们5.3去的，进大门排了10多分钟，后面一路畅通，熊猫都出来了，吃早饭的，睡觉的，活动的，玩耍的，看的太尽兴了，还有熊猫剧场和博物馆，都不用排队，中午就结束了，等我们出来的时候，外面的队拍的几百米长有趣好玩，,2021-05-05IP属地：未知,IP属地：未知,"
4",,2021-05-05IP属地：未知,IP属地：未知,"
4",
sunday531,5分 超棒,"到熊猫基地里看大熊猫是我一直以来的愿望，终于成行了！虽然看到的99%的大熊猫都是屁股冲着我趴着睡觉😂 但它们毛茸茸的大屁股仍然能让我（以及别的游客们）萌出一脸血😆 
       没什么需要特别介绍的，基地里指示牌很清楚，跟着走就是了。唯一需要划重点的是，务必带上驱蚊用品，被蚊虫咬得一身包的可不止我和老公两个人🤣🤣🤣",2021-01-23IP属地：未知,IP属地：未知,"
点赞",,2021-01-23IP属地：未知,IP属地：未知,"
点赞",
风吹树动心不动,5分 超棒,为了看国宝，起了个大早！8点坐车出发，到景区又直接坐的观光车到终点，正好1个小时。然后各个馆转了一圈，被治愈了一早上。 重点：早点去！太热熊猫都回窝睡觉了，我下来的时候11点，好多都已经在睡觉了，尤其是亚成年的熊猫，都回去了，还好我看到他们玩耍的样子啦～ 重点：进去之前看看地图找好路线。景区的路弯弯绕绕的，反正找起来有一丢丢晕，提前看好想好下一个去哪，会比较省时间。 2017年6月29日。,2017-06-29IP属地：未知,IP属地：未知,"
36",,2017-06-29IP属地：未知,IP属地：未知,"
36",
136****6309,5分 超棒,"第一次去没有经验，太古里门口看到有直通车就预订了，出发和离开时间有限定，根本来不及好好看圆滚滚，关键是整个景区非常大，每个熊猫馆比较分散，而且都是上坡路，大家一定要穿一双舒服的鞋子。

“大熊猫繁育研究基地”也算是成都代表性的玩处，其实现在去基地很方便，地铁坐到熊猫大道站，出口就有免费的景区直通车。一进去就是迎宾大道啦，电动观光车的起点站，我们过去时候由于已经大排长龙，所以选择步行上去，并不会觉得特别累。观光车会把大家送往熊猫集中生活的地方。

一上去就是全中国第一个大熊猫博物馆了，里面的东西非常有趣，大熊猫历史，标本，关于熊猫科普知识，寓教于乐。如果大家早上去的话，建议先进去玩，全部玩好出来再慢慢欣赏，因为去了晚了懒懒的大熊猫就要睡觉了，看不到活动中的大熊猫啦！

里面分太阳产房、月亮产房、幼年大熊猫别墅和亚成年大熊猫别墅，熊猫真的是憨态可掬，让人看了好想抱抱，它们嬉戏打闹，和饲养员互动追着抱大腿，还看到大熊猫拉屎，居然引来游客一片尖叫，熊猫心里肯定想，人类是不是白痴了，没看过人家大便吗？

这里的熊猫很幸福，生存环境很好，熊猫主要还是吃竹笋，拨着笋壳，动作娴熟。园内风景优美，植被郁郁葱葱覆盖面积很高，让人心情舒服。即看到了可爱的熊猫又欣赏到了美景。",2017-06-12IP属地：未知,IP属地：未知,"
62",,2017-06-12IP属地：未知,IP属地：未知,"
62",
