 字段 1 , 字段 2 , 字段 3 , 字段 4 , 字段 5 , 字段 6 , 字段 7 , 字段 8 , 字段 9 , 字段 10 , 字段 11 
 canna 灵芝 , 5 分   超棒 , " 公园 面积 蛮大 的 ， 路线 有点 复杂 。 月亮 产房 能 不能 看到 小 小熊猫 真的 全 看运气 。 熊猫 也 的确 很 懒 ， 半天 不 动弹 一下 。 倒 是 小熊猫 还 算 活泼 。 
 另外 公园 到处 有 放养 的 雌 孔雀 ， 还 有幸 看到 妈妈 带 着 一只 小 的 漫步 在 小道 上 丝毫 不 畏惧 人类 。 
 虽然 起 了 个 大早 ， 但 真正 开始 游览 也 要 九点半 了 ， 很多 熊猫 已 吃饱喝足 睡觉 了 。 
 景区 有 电瓶车 但是 要 排队 乘坐 。 虽然 已经 过 了 国庆 ， 但 游客 依然 不少 。 
 景区 门口 有 招揽 直接 到 市区 各 景点 的 巴士 ， 十元 一位 还 蛮 人性 的 。 快上车 还有 叫 扫码 只要 八元 一位 的 … … 
 
 
 总体 能 看到 熊猫 还是 很 开心 的 " , 2020 - 10 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 10 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 _ M13 * * * * 7772 , 5 分   超棒 , 上午 9 点到 的 ， 观光车 排队 人 好多 ， 就 选择 了 走路 ， 走 到 月亮 产房 也 没 几分钟 。 然后 一路 看 下来 ， 看 滚滚 们 吃饭 拉屎 爬树 打架 睡觉 ， 萌翻 了 。 中午 在 竹韵 餐厅 吃 了 滚滚 同款 竹笋 。 景区 门口 有 景区 直通车 和 熊猫 公交 可以 到 其他 一些 景点 ， 都 蛮 方便 的 。 , 2020 - 10 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 10 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 柠檬 ค ิ ด ถ ึ ง , 5 分   超棒 , 熊猫 太 可爱 了 ， 但 ， 大熊猫 都 这么 懒 吗 ， 看 了 十几只 熊猫 ， 基本 都 在 睡觉 ~ ~ 大熊猫 幼崽太萌 了 ， 可惜 人太多 ， 只能 驻足 几秒钟 。 。 。 月亮 产房 和 太阳 产房 写 着 静止 喧哗 ， 结果 管理员 的 喇叭声 比 所有人 的 声音 都 大 ， 可能 是因为 人太多 了 ， 为了 管理 才 这样 的 ， 但 我 觉得 ， 可以 考虑 用 别的 方式 嘛 。 , 2020 - 10 - 09IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 10 - 09IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 天猪 我 也 , 5 分   超棒 , " 熊猫 都 在 睡觉 ， 去 的 时间 点 不 合适 ， 很 遗憾 。 
 
 
 不过 有些 人 素质 得 提高 ， 国庆 期间 排队 抱 着 孩子 被 人 挤 了 ， 不爽 能 理解 ， 但是 人挤 人 也 不是 我妈 挤 的 ， 我妈 刚好 在 旁边 ， 这 人 一把 很 愤怒 的 把 我 妈 这么 大 年纪 推撞 到 了 栏杆 上 ， 我 说 了 一句 你 怎么 推 老年人 ， 上来 就 打 我 ， 我 没 还手 报警 了 ， 他 孩子 都 被 吓哭 了 ， 他 老婆 也 劝 不住 他 ， 嘴里 一直 用 脏话 骂 我 ， 我 也 没 还 口 ， 后来 两个 保安 把 他 弄出去 了 ！ 口口声声 要 弄死 我 ， 我 让 他 把 口罩 摘 了 ， 他 不 摘 ， 净 叫唤 ！ 
 景区 的 保安 一直 护着 我 ， 谢谢 ， 因为 我 没 动手 ， 也 没 说 脏话 ， 只报 了 警 ， 保安 一直 在 劝 我 消消气 。 
 真的 气愤 ， 曝光 那个 人渣 戴 口罩 的 照片 ！ 
 
 
 在 这 也 劝 各位 ， 节假日 出游 真的 人挤 人 ， 要 注意 保护 好孩子 ， 还有 一些 自 认为 很 牛 逼 的 人 ， 出门在外 ， 脾气 一定 要 收敛 ， 不然 出来 玩 回不去 。 也 不要 嘴 上 口口声声 爱 孩子 ， 把 孩子 老婆 都 吓哭 了 ， 还 在 那 一口 一个 要 打死 我 ， 要 弄死 我 全家 ， 起因 在于 我 说 了 句 你 怎么 能 这么 推 老人 ！ 而且 这个 老人 我 并 没有 使劲 往前 挤 他 。 " , 2020 - 10 - 07IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 10 - 07IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 橘子 半蓝 , 5 分   超棒 , 来 成都 必须 要 去 大熊猫 基地 呀 。 圆滚滚 的 团子 太 可爱 了 。 去 的 那天 早上 有点 下雨 ， 后来 没下 了 。 有 很多 熊猫 在 睡觉 ， 一动不动 ， 姿势 各样 。 一只 腿 蹬 着 树 睡觉 的 ， 趴着 的 ， 在 树上 睡觉 的 。 还有 几只 小 的 在 打架 ， 爬 到 树上 摔下来 了 ， 一堆 人笑 。 熊猫 真的 对 自己 的 体重 没有 一点 数 吗 😂 推荐 大家 去 看 国宝 呀 ， 就是 国庆 期间 ， 人 真的 超多 ， 希望 大家 注意安全 。 , 2020 - 10 - 07IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 10 - 07IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 我 么 是 鱼 , 4 分   满意 , 都 是 憨 憨 ， 可爱 死 了 ， 但是 建议 大家 还是 不要 期望值 高到 可怕 ， 因为 除了 可爱 ， 空气 中 粪便 的 味道 还是 蛮重 的 。 另外 提醒 大家 一下 ， 去 的话 最好 给 自己 准备 一下 防蚊 喷雾 ， 可能 除了 冬天 ， 都 离不开 那个 玩意儿 ， 野生 的 蚊子 太 可怕 了 , 2020 - 10 - 05IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 10 - 05IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 M43 * * * * 4327 , 5 分   超棒 , 滚滚 + 方便 真的 值得 去 看 ！ 我 总以为 电视 上 看过 不少 了 应该 会 没意思 ， 结果 看到 大熊猫 吃 东西 的 一瞬间 我 就 心软 了 。 太萌 了 。 记得 早点 去 哦 ， 去 晚 了 大熊猫 睡觉 就 只能 看大 屁股 了 ！ 熊猫 数量 感觉 不 多 ， 那个 观光车 其实 不 坐 也 是 走 不了 多久 路 的 。 顺带 提 一句 里面 的 卫生间 好 高级 ！ 景色 不错 ， 值得 推荐 ， 有趣 好玩 ， , 2020 - 09 - 29IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 09 - 29IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 贝熊 说 , 5 分   超棒 , 带 着 孩子 参加 家属 活动 ， 有 一天 的 空余 时间 ， 果断 的 一场 “ 爸爸 去 哪儿 ” 首选 成都 大熊猫 基地 ， 为了 更 深入 游玩 并 不虚此行 ， 购买 了 导游 讲解 版 门票 。 一路 与 女儿 带 着 耳麦 跟 随着 单独 的 路线 ， 确实 感受 到 了 真实 的 大熊猫 基地 以及 大熊猫 的 习性 ， 看 了 阳光 产房 、 月子间 、 网红奇 一 等等 ， 可惜 的 是 来得 晚 天气炎热 大熊猫 们 都 趴窝 睡觉 了 。 特别 是 小家伙 赖 在 我 的 肩头 扛着 走 ， 完全 是 溜 爸爸 的 节奏 ， 还好 平时 马拉松 的 基础 起 了 作用 。 一路 看 完 女儿 性质 高涨 买 了 一大 一小 的 熊猫 公仔 （ 至今 每天 陪伴 她 入眠 ， 爱不释手 ） ， 价格 也 非常 的 公道 性价比 蛮高 ！ 重点 建议 带 孩子 一定 备足 温水 、 湿纸巾 、 纸 尿布 、 食品 等 ， 园区 内 餐厅 较 少 ， 水 只有 自动 售卖 的 冰镇 的 （ 孩子 喝 了 肠胃 也许 会 不适 ） 。 还有 出 大门 以后 的 “ 侏罗纪 世界 ” 真实 电影 ， 身临其境 的 环境 和 感受 ， 让 我 和 女儿 都 异常 兴奋 ， 来 成都 值得 亲子 游玩 的 不二 之选 ！ 值得 推荐 ， 体验 很 好 ， 景色 不错 ， 有趣 好玩 ， , 2020 - 09 - 26IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 09 - 26IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 DianaG , 5 分   超棒 , " ＃ 景色 不错 ， 值得 推荐 ， 有趣 好玩 ， 体验 很 好 ， 
 
 打卡 滚滚 🐼   
 交通 建议 坐地铁 转 公交 655 比较 方便快捷 省钱 
 游玩 时间 大概 3 - 5 小时 ， 建议 自备 食品 ， 景区 买 吃 的 较 少 。 水 的话 有 自动 贩卖机 。 
 景区 内有 观光车 需要 排队 30 - 40 分钟 ， 其实 最 远处 月亮 产房 也 就 1.2 公里 ， 走上 去 也 就 十几分钟 。 土豪 随意   
 推荐 ： 月亮 产房 - 1 号 别墅 - 2 号 别墅 - 太阳 产房 - 成年 大熊猫 别墅 （ 图七 就是 ） 
 最后 建议 早起 去 ， 早上 滚滚 们 吃饭 时 比较 活跃 ， 他们 真的 吃完饭 就 睡 了 ， 我 去 的 时候 已经 九点 多 了 ， 滚滚 们 都 睡 了 。 " , 2020 - 09 - 16IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 09 - 16IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 110 * * * * 446 , 5 分   超棒 , 熊猫 基地 的 熊猫 很多 ， 非常 可爱 ， 要 早点 去 可以 看到 正在 活动 的 熊猫 ， 中午 就 大部分 都 睡觉 了 ， 天热 熊猫 不爱动 ， 喜欢 在 室内 ， 所有 的 馆 都 参观 一遍 要 四个 小时 ， 很 有 收获 ， 以后 可以 带 小朋友 来 增长 知识 值得 推荐 ， 体验 很 好 ， 有趣 好玩 ， 景色 不错 ， , 2020 - 09 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 09 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 白古 , 5 分   超棒 , 由于 成都 熊猫 基地 开展 了 大量 研究 工作 ， 关注 动物 健康 与 福利 的 研究 ， 基地 以 80 年代 抢救 留下 的 6 只病 、 饿 大熊猫 为 基础 ， 截止 2007 年 ， 基地 已 成功 繁殖 大熊猫 。 109 胎 161 仔 ， 建立 了 现存 108 只 的 世界 上 最大 的 大熊猫 人工 种群 。 , 2020 - 06 - 19IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 8 " ,  , 2020 - 06 - 19IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 8 " ,  
 山在 穷游 , 5 分   超棒 , " 来 成都 ， 出 了 喝 碗 茶 感受 成都 的 巴适 生活 外 ， 还有 一个 事是 必须 干 的 ， 那 就是 去 成都 大熊猫 繁育 研究 基地 看 我们 的 国宝 大熊猫 。 
 
 🚗 交通 攻略 ： 
 大熊猫 基地 虽然 位置 离 成都 有 一定 的 距离 ， 但是 从 春熙路 有 专门 的 旅游 巴士 来往 于 成都 和 研究 基地 之间 ， 可以 说 非常 的 方便 。 
 
 📌 小 Tips ： 
 1 . 看 熊猫 要 保持 安静 ， 千万 不要 拍打 玻璃 等 物品 
 2 . 熊猫 虽 可爱 ， 但 不要 随便 喂 东西 给 熊猫 。 
 3 看 完成 熟 的 大熊猫 以后 ， 还有 可爱 的 小熊猫 可以 在 温室 里 看看 。 
 4 . 要 学会 观察 ， 不仅 看 底下 ， 还有 树上 的 大熊猫 给 大家 看 ， 你 看 他们 躺 在 树上 多么 安逸 的 样子 " , 2020 - 06 - 05IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 8 " ,  , 2020 - 06 - 05IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 8 " ,  
 Shuying , 5 分   超棒 , " 现在 不仅 在 国内 ， 全球 好多 动物园 或者 大 熊猫馆 能 看到 我们 的 国宝 大熊猫 。 但是 到 成都 一定 要 去 这个 大熊猫 繁育 基地 游览 ， 这里 是 最 全面 观赏 大熊猫 的 地方 了 。 
 
 🎯 推荐 理由 ： 
 🌈 这里 是 我国 乃至 全球 知名 的 集 大熊猫 科研 繁育 、 保护 教育 、 旅游 、 熊猫 文化 建设 为 一体 的 大熊猫 等 珍稀 濒危动物 的 机构 。 
 🌈 在 这里 能 看到 数量 最多 的 大熊猫 。 
 🌈 幸运 的话 在 这里 能 看到 各个 年龄段 的 大熊猫 。 
 🌈 在 这里 能 获得 丰富 的 包括 大熊猫 在内 的 很多 动物 的 科普知识 。 
 
 🎯 游玩 路线 
 熊猫 基地 占地 比较 大 ， 可以 选择 比较 全面 的 游览 路线 ， 全程 大约 三 小时 ， 也 可以 选择 几个 重点 景观 游览 ， 全程 大约 1.5 小时 。 在 景区 大门 处有 景点 地图 ， 标识 非常 清楚 。 
 🌿 3 小时 游览 👉 正门 → 天鹅湖 （ 玫瑰 苑 ） → 成年 大熊猫 别墅 → 大熊猫 太阳 产房 → 大熊猫 2 号 别墅 → 大熊猫 月亮 产房 → 大熊猫 1 号 别墅 → 熊猫 厨房 → 熊猫 科学 探秘 馆 → 大熊猫 博物馆 → 正门 
 🌿 1.5 小时 游览 👉 正门 → 天鹅湖 （ 玫瑰 苑 ） → 亚 成年 大熊猫 别墅 → 成年 大熊猫 别墅 → 幼年 大熊猫 别墅 → 大熊猫 太阳 产房 → 小熊猫 2 号 活动 场 → 小熊猫 产房 → 小熊猫 1 号 活动 场 → 大熊猫 魅力 剧场 → 大熊猫 14 号 兽 舍 → 熊猫 科学 探秘 馆 → 大熊猫 博物馆 → 正门 
 
 🎯 tips 
 ▶ ️ 门票 58 元 
 ▶ ️ 园内 有 收费 观光车 和 讲解 服务 。 
 ▶ ️ 遵守 游览 规则 ， 切勿 伤害 到 我们 的 国宝 可爱 们 。 
 ▶ ️ 熊猫 产房 一般 情况 都 是 在 排队 的 。 要 耐心 等候 安排 好 时间 。 
 ▶ ️ 有 固定 给 熊猫 投食 和 打扫 时间 ， 可以 提前 做好 攻略 ， 这 段时间 去 观看 ， 能 看到 熊猫 宝宝 们 和 饲养员 粑 粑 麻麻 互动 。 
 
 🎯 交通 
 🚌 景区 有 从 成都市 内 主要 景点 武侯祠 、 春熙路 等 发车 的 班车 ， 休息 查询 时刻表 。 
 🚇 地铁 3 号线 到 熊猫 大道 站 。 
 🚌 市内 多 公交 可 到达 。 " , 2020 - 05 - 30IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 16 " ,  , 2020 - 05 - 30IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 16 " ,  
 M42 * * * * 191 , 5 分   超棒 , 知识 距离 市区 最近 的 熊猫 基地 ， 无论是 出租车 ， 还是 城区 景点 专线车 ， 交通 都 很 方便 。 我们 去 的 时候 正是 熊猫 进食 的 时间 ， 看到 好多 熊猫 ， 带 孩子 特别 推荐 去 的 一个 景点 ， 但是 一定 要 早 ， 迟 了 就 会 看不到 熊猫 。 人 特别 多 ， 建议 分 批次 游览 参观 。 , 2018 - 01 - 22IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 4 " ,  , 2018 - 01 - 22IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 4 " ,  
 missut , 4 分   满意 , 人 真的 很多 。 。 。 通过 人 的 密集 程度 就 知道 有 没 大熊猫 出现 。 整个 园区 除了 大熊猫 小 熊猫馆 外 ， 还有 熊猫 科普馆 和 吃饭 赏景 的 天鹅湖 。 大 熊猫馆 被 细致 的 根据 不同 成长 时期 划分 ， 各个 展馆 还有 各自 的 简介 甚至 熊猫 的 名字 血统 经历 。 还 特别 贴心 的 规划 了 简单 和 详细 的 游览 路线 ， 总体 需要 三个 小时 以上 ， 而且 还是 有点累 的 。 交通 方便 ， 有 去 各个 地方 的 大巴车 可以 坐 。 , 2017 - 06 - 12IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 8 " ,  , 2017 - 06 - 12IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 8 " ,  
 bm * * * * 04 , 5 分   超棒 , 成都 真是 吃喝玩乐 的 代表 ， 川剧 火锅 麻将 ， 不能 少 的 还有 大熊猫 ， 位于 成都 北三环 的 熊猫 繁育 基地 是 个 教育 观摩 游玩 的 好 地方 ， 堪称 熊猫 集散地 。 公交 就 可以 直达 非常 方便 ， 不过 能 看到 什么 状态 的 熊猫 就 得 看运气 了 ， 有的是 吃货 ， 一刻不停 的 吃 吃 吃 ， 有的是 多动症 ， 始终 在 树叉 上 晃荡 ， 还有 的 一脸 傲娇 ， 屁股 对 着 游客 一幅 不 待见 的 模样 。 最 期待 的 是 看到 萌萌 的 熊猫 小宝宝 ， 可惜 没 开放 。 , 2016 - 11 - 29IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 11 " ,  , 2016 - 11 - 29IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 11 " ,  
 M42 * * * * 023 , 5 分   超棒 , 坐地铁 去 的 ， 到 熊猫 大道 站 ， 本 准备 坐 公交 ， 没想到 有 景区 直通车 ， 太 方便 了 ， 包 门票 才 55 元 ， 非常 推荐 ， 里面 景色 很 好 ， 都 是 竹林 ， 很 幽静 ， 小熊猫 太萌 了 ， 大熊猫 是 吃货 一个 ！ , 2016 - 10 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 21 " ,  , 2016 - 10 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 21 " ,  
 _ WB3 * * * * 620 , 4 分   满意 , 大熊猫 基地 几乎 是 来 成都 必来 的 一个 景点 。 的确 ， 这里 景色 优美 ， 绿化 很 好 ， 有 天鹅湖 ， 小熊猫 ， 大熊猫 三种 动物 。 我 中午 12 点到 的 大熊猫 基地 ， 真心 远 ， 我 到 这里 坐 公交 地铁 花 了 几乎 3 个 小时 ， 中午 的 时候 熊猫 都 睡 了 ， 在 室内 的 空调 房里 ， 在 这里 被称作 熊猫 别墅 ， 很 遗憾 不能 近距离 等待 接触 到 熊猫 ， 只能 隔 着 一张 冰冷 的 玻璃 ， 还好 下午 2 点 的 时候 有 的 熊猫 醒 了 ， 一直 在 吃 ， 感觉 再 卖萌 ， 特别 可爱 。 但是 呢 熊猫 一共 就 几只 ， 被 分散 在 园区 的 各个 角落 ， 虽然 园区 景色 也 很 美 ， 但 走 了 这 一大 圈 也 是 很 累 的 。 当然 啦 ， 最爱 的 还是 熊猫 宝宝 ， 在 太阳 产房 和 月亮 产 房里 ， 像 个 小肉球 一样 ， 可爱 极了 。 , 2016 - 07 - 28IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 46 " ,  , 2016 - 07 - 28IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 46 " ,  
 亥 亥 的 嗨 嗨 , 5 分   超棒 , 上午 在 武侯祠 门口 旅游 直通车 集散地 集合 ， 前往 “ 成都 大熊猫 繁育 研究 基地 ” 。 基地 合理 按照 大熊猫 的 年龄 ， 划分 区域 ， 每 只 熊猫 都 有 自己 的 室内 室外 活动场所 ， 环境 非常 好 。 每 只 大熊猫 都 非常 萌 。 尤其 是 3 - 7 岁 的 熊猫 ， 就 笑 人类 小孩 一样 ， 特别 好动 ， 会 和 小伙伴 大闹 在 一起 ， 但 因为 大熊猫 动作 缓慢 ， 就 显得 更加 憨态可掬 。 还有 小熊猫 基地 ， 其实 小熊猫 长得 很 像 浣熊 ， 但是 他们 是 活动 灵活 有着 锋利 尖爪 的 动物 。 基地 里 还有 熊猫 博物馆 ， 可以 了解 大熊猫 生平 ， 了解 中国 科学家 为了 保护 和 繁育 大熊猫 所 作出 的 贡献 。 我 在 纪念品 店 给 同学 和 亲戚 带 了 小 挂件 和 娃娃 ， 当时 觉得 拎 着 一包 萌萌 哒 的 panda 很 幸福 ~ , 2016 - 07 - 26IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 31 " ,  , 2016 - 07 - 26IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 31 " ,  
 佩琪 斯塔克 , 5 分   超棒 , 大熊猫 和 小熊猫 好 可爱 啊 ， 太阳 产房 和 月亮 产房 可以 看到 崽 。 中午 过去 大熊猫 都 在 睡觉 了 , 2021 - 11 - 22IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 11 - 22IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 XRNFUSKA , 4 分   满意 , 大熊猫 基地 里 的 熊猫 还是 时多 时少 的 得 看 天气 和 园区 安排 ， 打车 过去 下车 点离 景区 入口 还有 好长 一段距离 是 需要 走路 的 ， 天气 热 很 晒 记得 带伞 ， 门口 有 卖 大熊猫 纪念品 的 ， 比较 划算 , 2021 - 11 - 08IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 11 - 08IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 少女 战士 2021 , 5 分   超棒 , 看见 三个 熊猫 打架 玩闹 真是太 幸运 了 ， 憨态可掬 ， 2 个 打 一个 熊猫 真的 是 太 搞笑 了 ， 我们 是 下午 去 的 太阳 产房   月亮 产房 都 没开 还有 熊猫 别墅 这些 都 没开   不用 坐 观光车   景区 不 大 一个半 小时 差不多 就 能 溜达 完 , 2021 - 04 - 19IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2021 - 04 - 19IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 138 * * * * 0713 , 5 分   超棒 , " 网上 买票 很 方便 ， 刷 身份证 直接 进场 ， 没有 二次 兑票 的 排队 时间 。 
 
 看 熊猫 一定 要 早点 去 ！ 滚滚 们 早上 还 在 户外活动 ， 9 - 10 点后 就 回去 了 。 
 
 1 - 3 月 没有 宝宝 熊猫 ， 熊猫 一般 6 - 9 月 生产 ， 要 看 宝宝 的 ， 最好 还是 下半年 去 吧 " , 2021 - 03 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 03 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 M50 * * * * 1040 , 5 分   超棒 , 成都 大熊猫 繁育 研究 基地 值得 去 旅游 ， 极具 旅游 价值 ， 又 能 增长 科学知识 ， 了解 了 大熊猫 和 小熊猫 的 基本 属性 、 生长发育 、 习性 和 爱好 等 ， 特 适合 青少年 去 旅游 ， 丰富 课外 知识 。 , 2022 - 02 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 02 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 皮卡丘 12138 , 5 分   超棒 , 值得 一去 ， 卫生 很 干净 ， 和 朋友 一起 去 看 的 ， 熊猫 都 在 睡觉 ， 有点 可惜 ， 值得 去 玩 一趟 , 2021 - 12 - 27IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 12 - 27IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 133 * * * * 9611 , 5 分   超棒 , 来 成都 肯定 要 去 熊猫 繁育 基地   第一次 近距离 观看 熊猫   真的 萌翻 了   超乎 想象 的 能 爬高 “ 图一 ”   也 才 知道   原来 浣熊 叫 小熊猫 🐼 ☺ ️ 🥲 , 2021 - 07 - 27IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 07 - 27IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 _ WeCh * * * * 70346 , 5 分   超棒 , 平时 看 滚滚 在 B 站上 的 直播 ， 能 看 好久 ， 今天 终于 看到 真的 了 。 国宝 滚滚 真的 真的 太太 太 太太 太太 太太 可爱 了 ， 我 的 天 ， 差点 长 在 围栏 外 。 保安 大叔 尽职尽责 ， 即 负责 看护 滚滚 疏导 人群 ， 又 负责 指路 讲解 ， 哈哈哈 非常 可爱 。 , 2021 - 04 - 19IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 04 - 19IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 佳佳 芮 , 5 分   超棒 , 园区 还是 挺大 的 ， 能 看到 各种各样 慵懒 的 熊猫 ， 就是 熊猫 baby 需要 排队 才能 看到 。 熊猫 萌萌 的 ， 很 可爱 ， 慵懒 的 吃 竹子 、 休息 、 打闹 ， 看得出来 生活 得 特别 幸福 。 园区 内 还有 做 公益 捐赠 的 地方 ， 可以 尽 一点 小小的 心意 。 , 2020 - 12 - 13IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 12 - 13IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 - 简单 点 - , 5 分   超棒 , 今天天气 不是 很 好 ， 阴天 。 熊猫 们 也 没有 什么 精神 ， 差不多 看到 的 都 在 睡觉 ， 唯独 两只 比较 顽皮 的 在 打 逗 。 小熊猫 很 可爱 还有 一只 蜷 在 轮胎 里 睡觉 ， 好像 是 它 霸占 来 的 玩具 谁 也 不 给 😂 。 总体 超赞 ， 景色 不错 ， 有趣 好玩 ， 。 , 2020 - 11 - 22IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 11 - 22IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 M23 * * * * 0140 , 4 分   满意 , 熊猫 比 在 新加坡 看到 的 多多 了 ， 有 好几个 独立 的 院子 ， 圈养 着 不同 大小 的 熊猫 ， 还有 幼年 大熊猫 房 ， 给 熊猫 园区 捐赠 了 一些 费用 以表 支持 ， 唯一 的 遗憾 就是 没抱 着 熊猫 照张 相 。 , 2022 - 02 - 02IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 02 - 02IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 一碗 君猫 酱 , 5 分   超棒 , 值得 去 必 打卡 地 ， 里面 熊猫 都 好 可爱 ， 在 一起 打架 还有 会 爬树 ， 小熊猫 也 有 ， 很 活泼 , 2021 - 10 - 09IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 10 - 09IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 _ WeCh * * * * 446930 , 5 分   超棒 , 一定 要 趁早 去 ， 赶在 大 部队 来 之前 入园 ， 看到 那么 多开 的 的 国宝 🐼 团子 们 ， 心 都 被 萌化 了 ， 不得不 感叹 国宝 们 过 着 比 我 更 享乐 的 生活 ， 实名 羡慕 ， 出来 的话 有 旅游 大巴 🚌 直接 到 春熙路 ， 非常 方便 , 2021 - 06 - 20IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2021 - 06 - 20IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 cparissh , 5 分   超棒 , 四川 是 出产 熊猫 的 ， 所以 去 成都 的话 一定 不能 放过 大熊猫 研究 基地 。 研究 基地 在 市区 挺远 的 地方 ， 要 准备 好 大半天 的 时间 才 够 游览 ， 里面 除了 可爱 的 熊猫 之外 ， 还有 孔雀 等等 。 , 2020 - 12 - 24IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 12 - 24IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
